delta,alpha1,alpha2,alpha3,alpha4,alpha5,E_lower,E_upper
0.0001,0.04437750792108848,0.04437750792108848,0.46796691542902175,0.4109137263576248,0.03236434237117657,6.229461184133292,6.226320259216609
0.00019999999999999998,0.04437750792108848,0.04437750792108848,0.46796691542902175,0.4109137263576248,0.03236434237117657,6.105220243539396,6.102274264168314
0.0003,0.04437750792108848,0.04437750792108848,0.46796691542902175,0.4109137263576248,0.03236434237117657,5.991815300825856,5.988968678339403
0.00039999999999999996,0.04437750792108848,0.04437750792108848,0.46796691542902175,0.4109137263576248,0.03236434237117657,5.8877189770672524,5.885001340574723
0.0005,0.04437750792108848,0.04437750792108848,0.46796691542902175,0.4109137263576248,0.03236434237117657,5.7913925312801275,5.788743436734706
0.0006000000000000001,0.04437750792108848,0.04437750792108848,0.46796691542902175,0.4109137263576248,0.03236434237117657,5.701785878541896,5.699182510558809
0.0007,0.04437750792108848,0.04437750792108848,0.46796691542902175,0.4109137263576248,0.03236434237117657,5.618096617188601,5.615562702429614
0.0007999999999999999,0.04437750792108848,0.04437750792108848,0.46796691542902175,0.4109137263576248,0.03236434237117657,5.539551076760829,5.537070724454589
0.0009,0.04437750792108848,0.04437750792108848,0.46796691542902175,0.4109137263576248,0.03236434237117657,5.465585918697289,5.463156008822495
0.001,0.04437750792108848,0.04437750792108848,0.46796691542902175,0.4109137263576248,0.03236434237117657,5.395714011654242,5.393330214389465
0.0001,0.06341903902975783,0.06341903902975783,0.08402188419119998,0.43608156414966576,0.35305847359961867,3.047731323207528,3.0435773362078793
0.00019999999999999998,0.06341903902975783,0.06341903902975783,0.08402188419119998,0.43608156414966576,0.35305847359961867,3.0315249536772844,3.027350697007046
0.0003,0.06341903902975783,0.06341903902975783,0.08402188419119998,0.43608156414966576,0.35305847359961867,3.0161415430318272,3.012052143926216
0.00039999999999999996,0.06341903902975783,0.06341903902975783,0.08402188419119998,0.43608156414966576,0.35305847359961867,3.0009332367504653,2.996865283540091
0.0005,0.06341903902975783,0.06341903902975783,0.08402188419119998,0.43608156414966576,0.35305847359961867,2.986315568902364,2.982328251422243
0.0006000000000000001,0.06341903902975783,0.06341903902975783,0.08402188419119998,0.43608156414966576,0.35305847359961867,2.9720398654748537,2.968128640463871
0.0007,0.06341903902975783,0.06341903902975783,0.08402188419119998,0.43608156414966576,0.35305847359961867,2.95823114226549,2.9544354720379244
0.0007999999999999999,0.06341903902975783,0.06341903902975783,0.08402188419119998,0.43608156414966576,0.35305847359961867,2.9444541464146003,2.9406832690644404
0.0009,0.06341903902975783,0.06341903902975783,0.08402188419119998,0.43608156414966576,0.35305847359961867,2.9312257919057547,2.927555731486926
0.001,0.06341903902975783,0.06341903902975783,0.08402188419119998,0.43608156414966576,0.35305847359961867,2.9180650087408204,2.9144211833973963
0.0001,0.0354344954327331,0.0354344954327331,0.4331349710537314,0.24953088811402555,0.24646514996677685,2.8660836808943433,2.8657983150475914
0.00019999999999999998,0.0354344954327331,0.0354344954327331,0.4331349710537314,0.24953088811402555,0.24646514996677685,2.8519179062980804,2.8517513885362358
0.00039999999999999996,0.0354344954327331,0.0354344954327331,0.4331349710537314,0.24953088811402555,0.24646514996677685,2.82419402918803,2.824147801468976
0.0005,0.0354344954327331,0.0354344954327331,0.4331349710537314,0.24953088811402555,0.24646514996677685,2.810420566710984,2.8103117714241597
0.0006000000000000001,0.0354344954327331,0.0354344954327331,0.4331349710537314,0.24953088811402555,0.24646514996677685,2.797274529998136,2.797201032312743
0.0007999999999999999,0.0354344954327331,0.0354344954327331,0.4331349710537314,0.24953088811402555,0.24646514996677685,2.7718171589417326,2.7718061800464926
0.001,0.0354344954327331,0.0354344954327331,0.4331349710537314,0.24953088811402555,0.24646514996677685,2.747273450369141,2.7472722326567776
0.0001,0.1649196230065899,0.1649196230065899,0.01592136511841324,0.21645698133060953,0.4377824075377974,3.1321239431892787,3.0995056842862163
0.00019999999999999998,0.1649196230065899,0.1649196230065899,0.01592136511841324,0.21645698133060953,0.4377824075377974,3.113329313900033,3.0820925406220043
0.0003,0.1649196230065899,0.1649196230065899,0.01592136511841324,0.21645698133060953,0.4377824075377974,3.0950456611250345,3.0651499330950176
0.00039999999999999996,0.1649196230065899,0.1649196230065899,0.01592136511841324,0.21645698133060953,0.4377824075377974,3.0769363777596745,3.0482872243068035
0.0005,0.1649196230065899,0.1649196230065899,0.01592136511841324,0.21645698133060953,0.4377824075377974,3.0597891543899127,3.0324413350705073
