delta,alpha1,alpha2,alpha3,alpha4,alpha5,E_lower,E_upper
0.04,0.04575048,0.04575048,0.228542225,0.458057609,0.221899205,1.778683327,1.778591786
0.04,0.040116221,0.040116221,0.130312868,0.335223282,0.454231409,1.778608015,1.778581662
0.04,0.069781671,0.069781671,0.134651294,0.493865835,0.23191953,2.316935075,2.314125709
0.04,0.070548153,0.070548153,0.248317959,0.116798768,0.493786968,2.315245015,2.312389687
0.04,0.037135669,0.037135669,0.487185399,0.101764288,0.336778976,2.214443861,2.213981252
0.05,0.071980096,0.071980096,0.150525243,0.213928595,0.491585969,2.036028653,2.034359576
0.05,0.03733719,0.03733719,0.435908686,0.439128435,0.050288499,1.798131412,1.7980764
0.05,0.101797509,0.101797509,0.154234767,0.495982509,0.146187707,2.100985983,2.097685278
0.05,0.051807616,0.051807616,0.141024876,0.481124442,0.27423545,1.900851297,1.900333754
0.05,0.052066476,0.052066476,0.438428594,0.022065341,0.435373113,1.791632669,1.791438973
0.05,0.065905371,0.065905371,0.491253703,0.203294619,0.173640937,2.030880652,2.029481604
0.05,0.063271342,0.063271342,0.296086798,0.106854981,0.470515538,1.782024701,1.78178301
0.05,0.041846729,0.041846729,0.286078133,0.134189224,0.496039185,2.102868288,2.102298746
0.05,0.045125323,0.045125323,0.469241692,0.329083193,0.111424469,1.78695743,1.786814369
0.05,0.027676299,0.027676299,0.189593309,0.484743879,0.270310213,1.945577341,1.945524158
0.05,0.052168793,0.052168793,0.326206803,0.472712751,0.09674286,1.822524359,1.822218372
0.05,0.068503377,0.068503377,0.094246071,0.292770706,0.475976468,1.843449568,1.842896179
0.05,0.040661566,0.040661566,0.495587366,0.162841669,0.260247832,2.093485682,2.092963656
0.05,0.076895586,0.076895586,0.470819183,0.148036845,0.2273528,1.769317814,1.769316441
0.05,0.069781671,0.069781671,0.134651294,0.493865835,0.23191953,2.06903129,2.067304368
0.05,0.070548153,0.070548153,0.248317959,0.116798768,0.493786968,2.068573185,2.066821283
0.05,0.037135669,0.037135669,0.487185399,0.101764288,0.336778976,1.999689941,1.999398361
0.06,0.071980096,0.071980096,0.150525243,0.213928595,0.491585969,1.85906137,1.858327277
0.06,0.101797509,0.101797509,0.154234767,0.495982509,0.146187707,1.911479093,1.910615676
0.06,0.051807616,0.051807616,0.141024876,0.481124442,0.27423545,1.750121075,1.749967739
0.06,0.065905371,0.065905371,0.491253703,0.203294619,0.173640937,1.854804424,1.854149874
0.06,0.041846729,0.041846729,0.286078133,0.134189224,0.496039185,1.919269052,1.918925287
0.06,0.040661566,0.040661566,0.495587366,0.162841669,0.260247832,1.909687695,1.909379195
0.06,0.069781671,0.069781671,0.134651294,0.493865835,0.23191953,1.887144329,1.886284285
0.06,0.070548153,0.070548153,0.248317959,0.116798768,0.493786968,1.887566115,1.886697086
0.06,0.037135669,0.037135669,0.487185399,0.101764288,0.336778976,1.84025568,1.840108869
0.07,0.065905371,0.065905371,0.491253703,0.203294619,0.173640937,1.718474372,1.718429622
0.07,0.041846729,0.041846729,0.286078133,0.134189224,0.496039185,1.777650699,1.777497359
0.07,0.040661566,0.040661566,0.495587366,0.162841669,0.260247832,1.767933615,1.767805351
0.07,0.069781671,0.069781671,0.134651294,0.493865835,0.23191953,1.74663926,1.746488503
0.07,0.070548153,0.070548153,0.248317959,0.116798768,0.493786968,1.747710777,1.747563705
0.07,0.037135669,0.037135669,0.487185399,0.101764288,0.336778976,1.715783531,1.715760398
